"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Costa Rica","CRI","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","16.9099998474121","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.4099998474121","38.5299987792969","38.7299995422363","39.8499984741211","40.1199989318848","41.4900016784668","42.2200012207031","42.6300010681152","41.439998626709","42.8400001525879","43.6599998474121","44.9700012207031","46.3199996948242","44.5","44.4700012207031","45.6800003051758","46.060001373291","47.4300003051758","47.1599998474121","49.2000007629395","50.1399993896484","53.6799125671387",
"Caribbean small states","CSS","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.7799987792969","","","","","","","","","","81.1500015258789","","","","","","","80.2341232299805","","","","",
"Curacao","CUW","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.3184967041016","","90.379997253418","","","",
"Cayman Islands","CYM","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","18.1000003814697","","","","","","","","","","","","","","","","","","","54.689998626709","","","","","","","","","","","","","","","78.6600036621094","83.9400024414062","81.1100006103516","92","91.4100036621094","","","","","","94.7900009155273","95.25","","","","","","","","",
"Cyprus","CYP","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.25","","","","","","","","","","","","67.379997253418","69.1900024414062","71.6800003051758","73.370002746582","73.9899978637695","74.5100021362305","75.8399963378906","77.2200012207031","78.6999969482422","79.6999969482422","78.9599990844727","78.6399993896484","80.3099975585938","80.8327407836914","81.7699966430664","81.826530456543","82.9199981689453","84.6264495849609","85.8635025024414","",
"Czechia","CZE","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.9100036621094","","","","","","","","","","","","","","","99.7799987792969","99.7900009155273","99.7900009155273","99.7900009155273","99.8199996948242","99.8199996948242","99.8199996948242","99.8000030517578","99.8199996948242","99.8099975585938","99.8000030517578","99.8300018310547","99.8092651367188","99.8099975585938","99.8262023925781","99.8459625244141","99.1881484985352","",
"Germany","DEU","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.75","96.9000015258789","96.9300003051758","97.0899963378906","96.7399978637695","96.7099990844727","96.5199966430664","96.7099990844727","96.7300033569336","96.6699981689453","96.8000030517578","96.7200012207031","96.5100021362305","95.5594787597656","96.3300018310547","95.4680480957031","95.6800003051758","93.5383453369141","93.9591369628906","",
"Djibouti","DJI","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.7844505310059","","","","","","",
"Dominica","DMA","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","6.30000019073486","","","","","","","","","","","12.8400001525879","","","","","","","","","","","","","","","","","","","","26.5799999237061","","","","","","","","","","","","","","","","","","","","61.4754791259766","","",
"Denmark","DNK","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.5699996948242","","","","","","","","","","","","99.7300033569336","","","","99.4000015258789","","96.9100036621094","96.379997253418","96.879997253418","99.6399993896484","99.5800018310547","91.4899978637695","92.0699996948242","92.4499969482422","88.4120330810547","93.8099975585938","89.7412643432617","95.1500015258789","91.3609771728516","91.7307586669922","",
"Dominican Republic","DOM","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.0400009155273","43.9799995422363","46.189998626709","48","49.7900009155273","49.2099990844727","50.7900009155273","53.2000007629395","52.0699996948242","53.3600006103516","54.6399993896484","56.0699996948242","56.7799987792969","57.4700012207031","58.9300003051758","60.5800018310547","60.3899993896484","61.439998626709","62.7000007629395","64.879997253418","64.75","65.9599990844727","65.9899978637695","60.6178932189941",
"Algeria","DZA","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","2.52999997138977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.6100006103516","","","","","","","","45.060791015625","","","","",
"East Asia & Pacific (excluding high income)","EAP","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"East Asia & Pacific","EAS","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia","ECS","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ecuador","ECU","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","SE.SEC.CUAT.LO.ZS","","","","","","","","","","","","","","","14.4200000762939","","","","","","","","23.5400009155273","","","","","","","","35.9099998474121","","","","","","","","","","","41.5","","41.3699989318848","","42.5400009155273","42.8899993896484","43.1500015258789","43.1500015258789","43.1199989318848","44.7799987792969","45.3800010681152","46.8699989318848","47.9700012207031","48.9099998474121","52.2299995422363","51.9799995422363","52.8499984741211","50.9900016784668","51.8400001525879","52.560001373291","54.2299995422363","54.2299995422363","",
